,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RN7SL1,11.8008667705,0.5333327018,0.7051898974,0.7562965717,0.4494714031,0.9999812494
7SK,11.8008667705,0.5333327018,0.7051898974,0.7562965717,0.4494714031,0.9999812494
A1BG,14.3543994593,0.6533979186,0.7022757754,0.930400765,0.3521636226,0.9999812494
A1CF,11.0075858818,-0.1606121115,0.7129334215,-0.2252834649,0.8217587621,0.9999812494
A4GALT,81.9403838414,0.1071674556,0.6223502979,0.1721979663,0.8632818967,0.9999812494
AAAS,823.5299372172,-0.5547877761,0.6306164271,-0.8797547167,0.3789922007,0.9999812494
AACS,283.3628013988,-0.0932625529,0.6298749798,-0.1480651811,0.882291328,0.9999812494
AACSP1,44.5595553754,-0.0966939422,0.6243079315,-0.1548818096,0.8769144944,0.9999812494
AADAC,22.061025583,0.1747759882,0.6983408858,0.2502731714,0.8023761025,0.9999812494
AADACP1,43.8328135431,0.126214847,0.6336780534,0.1991781889,0.8421233603,0.9999812494
AADAT,92.2903579174,-0.0842840956,0.623295173,-0.1352234051,0.8924352425,0.9999812494
